	JL_heart	JL_kidney	JL_muscle	JL_notochod	JL_ovary	JL_testis	Lj_brain	Lj_gill	Lj_heart	Lj_kidney	Lj_liver	LJ_Brain	LJ_Intestine
g30666	98.7804467266678	177.456692708182	196.706271507372	50.8452979946308	54.386943304766	403.979964440529	105.007249700519	26.231162222006	0	53.1862567393369	27.1878157694877	317.340319456289	260.518920342901
g30667	26.8047443378898	13.7583078338002	0	0	4.91942200746627	0	66.4870023229418	56.9440305522943	25.2209211879253	28.864903155017	0	0	0
g30668	0	0	0	0	0	0	65.1769136072188	0	4.80743612681716	6.60243187109009	0	4.28195333599191	0
g30669	62.2662738121408	0	0	0	0	16.1681809003436	0	22.046424279974	13.0193600944153	13.4103869132647	11.4252299731699	0	0
g30670	0	0	0	0	0	0	97.6123729610458	0	0	10.7870717893866	0	69.9586742218397	8.80627336370368
g30671	60.615274127728	0	0	15.6002618847163	0	11.8046093505349	515.490134893459	112.674764999072	275.662757908175	176.239914377167	83.4171620200195	8.46658955071129	21.3151843916919
g30672	0	0	0	0	0	0	26.8738932882845	2.23772947865455	7.92885200062737	19.9637513448128	6.95801920166987	0	0
g30673	0	6.71054720325062	0	20.1885742037506	0	0	27.7960366854316	0	0	14.0787150192362	0	3.6522543159931	41.3765344074019
g30674	0	21.7293909438591	0	0	7.76956332925227	24.7334672106446	7.50051783575136	5.620963333287	0	0	0	35.4790419267901	22.3301931722487
g30675	0	31.6520607968353	15.3499113604018	23.8061799859255	11.3175142137085	6.00465677946286	32.7768293862892	20.4694040460741	19.3408990997962	16.6014905429144	8.48637024018692	4.30670451134447	10.8424059333462
g30676	447.756623483655	739.433726863295	116.300788263483	521.071521054467	171.497514654445	303.300911780168	1117.52240922159	423.910898974609	561.733120569995	746.315766100011	803.727400484858	728.744700598447	246.447095448467
g30677	124.463362875601	146.021507142733	17.7035644356635	0	32.6321659828595	83.1044498277661	239.416529317185	113.318620799066	44.6130072568632	145.517598438826	68.5132957391089	19.8682634790024	75.0294490587556
g30678	0	46.4051399818008	15.0030207081894	0	44.2470047225214	70.4274998540389	21.3574067187496	72.0245471180504	37.8076332685281	19.4715787384691	8.29458786187762	0	137.765937537263
g30679	16.1640731007275	0	0	0	53.3980897901339	176.282166301322	263.472735612212	8.58474399992926	20.2786396622105	758.919532527849	0	2953.14643528809	22.7361966844714
g30680	30.5681611646995	188.27988027	7.60898184913903	590.038558390416	58.9062022040159	410.759816483944	314.119107986653	239.462701545304	201.333772004469	194.213654981693	126.201322483009	268.990100109704	263.355516037179
g30681	0	24.016695253739	23.2941637311361	0	8.58741210075252	18.2246600499486	16.5800920579767	0	0	0	25.7568780974094	0	0
g30682	0	8.8035474563545	0	44.1422201239561	169.981057531295	0	0	13.6638208359003	0	0	0	0	0
g30683	0	0	0	0	0	0	0	0	0	0	0	0	0
g30684	282.651658704297	193.438817206746	137.106409352285	149.219896288591	45.2239256827673	169.370481985936	10.2724483402682	3.84913793475088	0	3.12180202600456	0	315.840601500446	127.427732776419
g30685	0	29.4398199884543	0	0	21.0530103115224	96.8062587599426	6.77466127100124	10.1539982794862	0	4.11764568304544	5.2621578908686	10.6818620854852	0
g30686	0	13.6214092483893	0	0	0	0	56.4218058092342	0	8.32332224941478	0	0	0	0
g30687	193.266091421742	0	0	0	0	0	0	0	581.908790306913	0	0	0	0
g30688	0	0	0	0	0	0	0	0	0	0	0	0	0
g30689	6.03409968692314	55.7491613808511	18.0239909412863	12.4237379715387	31.0079405266992	51.705257245782	51.3157600346429	22.4329848866929	18.9252010422214	23.3923264935002	3.32158835192837	70.7975452023277	50.9249654244947
